provinsi,kota,kecamatan,latitude,longitude,confirmed,recovered,deaths,odp,pdp
Jawa Timur,Kabupaten Banyuwangi,,-8.2186,114.3669,3,1,1,529,7
Jawa Timur,Kabupaten Madiun,,-7.6278,111.5055,3,1,0,224,6
Jawa Timur,Kabupaten Ponorogo,,-7.8678,111.4660,6,0,0,329,17
Jawa Timur,Kabupaten Magetan,,-7.6493,111.3382,10,8,1,122,15
Jawa Timur,Kabupaten Pacitan,,-8.2046,111.0877,1,0,0,462,4
Jawa Timur,Kabupaten Ngawi,,-7.4610,111.3322,0,0,0,222,10
Jawa Timur,Kabupaten Bangkalan,,-7.0307,112.7450,3,0,0,440,3
Jawa Timur,Kabupaten Kediri,,-7.8094,112.0324,9,1,2,361,28
Jawa Timur,Kabupaten Bondowoso,,-7.9177,113.8135,1,0,0,842,2
Jawa Timur,Kabupaten Blitar,,-8.1014,112.1628,1,1,0,575,8
Jawa Timur,Kabupaten Trenggalek,,-8.0500,111.7167,1,0,0,662,9
Jawa Timur,Kabupaten Tulungagung,,-8.0667,111.9000,7,0,0,865,116
Jawa Timur,Kabupaten Nganjuk,,-7.6029,111.9018,9,0,0,41,18
Jawa Timur,Kabupaten Situbondo,,-7.7025,113.9556,8,4,0,233,26
Jawa Timur,Kabupaten Malang,,-8.0496,112.6885,11,4,1,209,86
Jawa Timur,Kabupaten Jember,,-8.1724,113.7003,3,1,0,824,19
Jawa Timur,Kabupaten Sumenep,,-6.9254,113.9061,0,0,0,123,0
Jawa Timur,Kabupaten Pasuruan,,-7.7860,112.8582,10,0,0,78,23
Jawa Timur,Kabupaten Pamekasan,,-7.1667,113.4667,2,0,1,155,2
Jawa Timur,Kabupaten Probolinggo,,-7.7540,113.2107,4,0,0,305,11
Jawa Timur,Kabupaten Lumajang,,-8.1370,113.2266,8,0,1,241,16
Jawa Timur,Kabupaten Bojonegoro,,0.8827,124.4670,1,0,1,117,1
Jawa Timur,Kabupaten Tuban,,-6.8949,112.0417,2,0,1,462,8
Jawa Timur,Kabupaten Lamongan,,-7.1269,112.3338,13,0,0,234,110
Jawa Timur,Kabupaten Sidoarjo,,-7.4530,112.7173,21,3,4,374,107
Jawa Timur,Kabupaten Sampang,,-7.5783,109.2058,0,0,0,281,0
Jawa Timur,Kabupaten Mojokerto,,-7.4881,112.4270,0,0,0,231,38
Jawa Timur,Kabupaten Gresik,,-7.1567,112.6555,10,1,1,1017,80
Jawa Timur,Kabupaten Jombang,,-7.5468,112.2265,3,0,0,454,5
Jawa Timur,Kota Mojokerto,,-7.4722,112.4336,0,0,0,192,6
Jawa Timur,Kota Surabaya,,-7.2892,112.7344,97,33,11,1290,519
Jawa Timur,Kota Madiun,,-7.6297,111.5137,0,0,0,47,8
Jawa Timur,Kota Blitar,,-8.1000,112.1500,1,1,0,147,2
Jawa Timur,Kota Malang,,-7.9819,112.6265,8,4,0,444,68
Jawa Timur,Kota Batu,,-7.8671,112.5239,2,1,0,119,10
Jawa Timur,Kota Pasuruan,,-7.6449,112.9033,2,0,1,60,1
Jawa Timur,Kota Kediri,,-7.8169,112.0114,6,1,0,150,1
Jawa Timur,Kota Probolinggo,,-7.7569,113.2115,1,0,0,197,4
